"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"
"299"	299	1	27	"other"	"yellow"	"broom"	"HighSchool"	4	0	23	903.096973394027	4
"300"	300	1	25	"white"	"yellow"	"cannon"	"PhD"	5	0	22	930.341803596685	3
"301"	301	1	25	"other"	"yellow"	"broom"	"BA"	1	1	79	700.883436059377	5
"302"	302	1	20	"white"	"yellow"	"paper"	"HighSchool"	2	0	64	806.847514543412	5
"303"	303	0	26	"hispanic"	"brown"	"cannon"	"MS"	3	0	38	788.231341438537	3
"304"	304	0	29	"black"	"yellow"	"broom"	"MS"	4	0	22	1010.59146122173	3
"305"	305	0	29	"white"	"brown"	"accurate"	"HighSchool"	5	0	16	978.026611866754	3
"306"	306	1	24	"white"	"brown"	"accurate"	"MS"	1	1	74	677.279655303624	5
"307"	307	1	27	"black"	"brown"	"cannon"	"PhD"	2	0	61	729.062310120911	5
"308"	308	1	25	"asian"	"brown"	"broom"	"HighSchool"	3	0	39	852.077000806964	4
"309"	309	1	26	"other"	"yellow"	"accurate"	"MS"	4	0	49	741.441257656463	4
"310"	310	1	27	"other"	"brown"	"broom"	"PhD"	5	0	20	1022.79589211184	4
"311"	311	0	25	"black"	"brown"	"cannon"	"MS"	1	1	77	672.679768225834	4
"312"	312	0	25	"asian"	NA	"broom"	"MS"	2	1	72	755.973091973571	4
"313"	313	1	23	"black"	"yellow"	"paper"	"MS"	3	0	54	749.704599397238	4
"314"	314	1	24	"asian"	"brown"	"broom"	"BA"	4	0	35	966.952893003018	4
"315"	315	0	25	"white"	"yellow"	"paper"	"MS"	5	1	11	974.495769762584	3
"316"	316	1	26	"white"	"yellow"	"accurate"	"MS"	1	1	75	632.444799924369	5
"317"	317	1	28	"white"	"brown"	"broom"	"HighSchool"	2	1	52	776.401688765558	5
"318"	318	1	26	"black"	"brown"	"broom"	"MS"	3	0	48	786.42649607746	4
"319"	319	0	22	"black"	"yellow"	"accurate"	"PhD"	4	0	32	885.484047736547	4
"320"	320	1	24	"black"	"yellow"	"broom"	"MS"	5	0	17	967.322333262854	4
"321"	321	1	27	"white"	"yellow"	"cannon"	"BA"	1	0	86	629.922133730905	6
"322"	322	0	28	"black"	"brown"	"paper"	"PhD"	2	1	61	814.869205017679	3
"323"	323	0	27	"black"	"brown"	"cannon"	"HighSchool"	3	1	36	842.529827780616	2
"324"	324	1	25	"other"	"yellow"	"paper"	"PhD"	4	1	39	839.206039492123	5
"325"	325	1	27	"black"	"yellow"	"accurate"	"BA"	5	0	20	1048.29869291869	4
"326"	326	0	25	"white"	"yellow"	"cannon"	"BA"	1	1	83	682.502915149674	5
"327"	327	0	23	"white"	"yellow"	"broom"	"MS"	2	1	68	578.660322475683	4
"328"	328	0	29	"asian"	"brown"	"accurate"	"PhD"	3	0	50	834.40146755363	NA
"329"	329	1	23	"black"	"yellow"	"accurate"	"BA"	4	0	36	914.328961275639	4
"330"	330	0	25	"asian"	"yellow"	"paper"	"HighSchool"	5	0	27	974.213700470788	3
"331"	331	0	25	"black"	"brown"	"cannon"	"BA"	1	1	84	615.030849342421	5
"332"	332	0	24	"other"	"yellow"	"cannon"	"BA"	2	1	67	644.127959887675	3
"333"	333	0	25	"other"	"yellow"	"accurate"	"MS"	3	1	49	829.755732921552	3
"334"	334	0	26	"black"	"yellow"	"accurate"	"HighSchool"	4	0	28	938.798682395392	3
"335"	335	1	27	"asian"	"yellow"	"paper"	"MS"	5	0	19	994.265088890715	4
"336"	336	0	27	"black"	"yellow"	"cannon"	"HighSchool"	1	1	86	581.187013730469	4
"337"	337	1	25	"white"	"yellow"	"accurate"	"HighSchool"	2	1	73	634.949036494488	5
"338"	338	1	25	"hispanic"	"brown"	"cannon"	"HighSchool"	3	1	36	921.348183169546	4
"339"	339	1	25	"black"	"yellow"	"accurate"	"BA"	4	0	35	817.949159927987	4
"340"	340	0	22	"white"	"yellow"	"broom"	"PhD"	5	0	7	989.412125482398	2
"341"	341	0	24	"white"	"brown"	"cannon"	"HighSchool"	1	1	71	729.933397688197	4
"342"	342	1	26	"white"	"brown"	"cannon"	"MS"	2	1	61	732.311051737539	5
"343"	343	1	24	"white"	"brown"	"accurate"	"HighSchool"	3	1	48	849.760028176781	5
"344"	344	1	26	"white"	"brown"	"paper"	"PhD"	4	0	29	1027.52179650135	4
"345"	345	1	26	"black"	"brown"	"cannon"	"HighSchool"	5	0	13	983.519736054272	4
"346"	346	0	23	"black"	"yellow"	"cannon"	"BA"	1	1	87	627.608642235282	4
"347"	347	1	28	"hispanic"	"brown"	"paper"	"BA"	2	1	66	725.17690104699	5
"348"	348	1	24	"white"	"brown"	"accurate"	"PhD"	3	0	41	848.087129182116	5
"349"	349	1	26	"white"	"yellow"	"cannon"	"HighSchool"	4	1	35	926.438037142128	4
"350"	350	0	24	"white"	"brown"	"accurate"	"MS"	5	0	19	1038.82182164089	2
"351"	351	1	26	"asian"	"brown"	"paper"	"BA"	1	1	77	683.706308551657	6
"352"	352	0	26	"hispanic"	"brown"	"cannon"	"MS"	2	1	46	692.007574812621	4
"353"	353	1	26	"black"	"brown"	"accurate"	"PhD"	3	1	43	727.571631126612	4
"354"	354	1	23	"asian"	"yellow"	"accurate"	"PhD"	4	0	34	974.114358918461	5
"355"	355	0	24	"black"	"brown"	"paper"	"BA"	5	0	26	948.813849798022	2
"356"	356	1	26	"white"	"brown"	"cannon"	"PhD"	1	1	74	677.854237744427	5
"357"	357	0	25	"asian"	"brown"	"accurate"	"BA"	2	1	60	715.58291121042	4
"358"	358	1	25	"other"	"brown"	"cannon"	"PhD"	3	0	50	752.209063460436	4
"359"	359	1	27	"black"	"brown"	"cannon"	"PhD"	4	0	32	916.371396905208	5
"360"	360	1	25	"white"	"yellow"	"cannon"	"BA"	5	0	27	850.027378324293	4
"361"	361	1	22	"black"	"brown"	"accurate"	"PhD"	1	1	62	799.502952047991	5
"362"	362	0	24	"white"	"brown"	"accurate"	"MS"	2	1	65	703.89849943704	4
"363"	363	1	27	"white"	"brown"	"paper"	"PhD"	3	0	51	769.837840713449	5
"364"	364	1	25	"black"	"brown"	"accurate"	"PhD"	4	0	1	1106.93818894944	4
"365"	365	0	24	"black"	"yellow"	"cannon"	"BA"	5	0	19	961.064603184966	3
"366"	366	1	21	"white"	"brown"	"paper"	"MS"	1	1	83	639.086071981748	5
"367"	367	1	27	"white"	"brown"	"cannon"	"HighSchool"	2	1	54	791.444298951361	5
"368"	368	1	26	"white"	"yellow"	"cannon"	"PhD"	3	0	59	803.099976905313	4
"369"	369	0	26	"white"	"yellow"	"cannon"	"MS"	4	0	34	907.235574124823	3
"370"	370	1	25	"white"	"yellow"	"accurate"	"BA"	5	0	21	992.844340634879	4
"371"	371	0	25	"black"	"brown"	"accurate"	"HighSchool"	1	1	74	633.688436588905	4
"372"	372	1	25	"white"	"brown"	"paper"	"HighSchool"	2	1	56	786.514564845385	5
"373"	373	0	22	"black"	"brown"	"broom"	"HighSchool"	3	1	55	855.749170591562	3
"374"	374	0	27	"black"	"yellow"	"broom"	"MS"	4	1	31	930.756144345281	3
"375"	375	1	24	"asian"	"brown"	"cannon"	"MS"	5	1	21	933.611758633627	4
"376"	376	0	24	"white"	"yellow"	"accurate"	"PhD"	1	1	75	570.556448543881	4
"377"	377	0	23	"white"	"brown"	"accurate"	"MS"	2	0	58	759.602297803171	3
"378"	378	0	25	"white"	"brown"	"broom"	"PhD"	3	0	38	900.618003391649	3
"379"	379	0	24	"white"	"yellow"	"accurate"	"MS"	4	0	34	848.534052707118	3
"380"	380	0	22	"black"	"brown"	"paper"	"BA"	5	0	27	931.745580758883	3
"381"	381	1	23	"other"	"brown"	"broom"	"PhD"	1	1	87	545.648147706751	6
"382"	382	0	25	"white"	NA	"cannon"	"PhD"	2	0	60	753.770380537877	3
"383"	383	0	24	"asian"	"yellow"	"broom"	"MS"	3	0	48	772.39249093856	3
"384"	384	0	21	"white"	"yellow"	"broom"	"HighSchool"	4	0	29	972.183447296364	3
"385"	385	0	23	"black"	"yellow"	"broom"	"PhD"	5	0	30	990.192406813755	3
"386"	386	0	26	"white"	"yellow"	"cannon"	"BA"	1	1	92	624.200890216974	4
"387"	387	0	24	"black"	"yellow"	"accurate"	"PhD"	2	1	72	596.687440068539	4
"388"	388	0	25	"white"	"yellow"	"broom"	"MS"	3	0	53	837.389107084124	3
"389"	389	0	25	"white"	"brown"	"paper"	"PhD"	4	0	31	938.639514860631	4
"390"	390	0	26	"black"	"yellow"	"cannon"	"BA"	5	0	16	979.905899755166	3
"391"	391	1	25	"black"	"brown"	"cannon"	"HighSchool"	1	1	72	744.974326086368	5
"392"	392	0	28	"hispanic"	"yellow"	"cannon"	"HighSchool"	2	1	53	810.03356199432	4
"393"	393	0	24	"black"	"yellow"	"accurate"	"MS"	3	1	56	799.704038356394	4
"394"	394	1	27	"white"	"brown"	"broom"	"MS"	4	0	26	931.235990510703	4
"395"	395	1	22	"black"	"yellow"	"cannon"	"HighSchool"	5	0	17	1065.65252221605	4
"396"	396	1	27	"white"	"brown"	"paper"	"MS"	1	1	82	588.637688205873	5
"397"	397	0	25	"black"	"yellow"	"accurate"	"HighSchool"	2	1	66	776.687932902377	3
"398"	398	1	25	"asian"	"brown"	"broom"	"MS"	3	0	39	832.498020645677	4
"399"	399	1	24	"asian"	"yellow"	"paper"	"HighSchool"	4	0	35	868.129089468513	5
"400"	400	1	28	"asian"	"brown"	"accurate"	"PhD"	5	1	4	977.883393172346	3
"401"	401	1	32	"white"	"brown"	"paper"	"BA"	1	1	70	817.295624827224	5
"402"	402	0	24	"black"	"yellow"	"cannon"	"PhD"	2	0	57	739.385731554113	4
"403"	403	0	24	"other"	"yellow"	"broom"	"BA"	3	1	46	883.590307355156	4
"404"	404	0	26	"white"	"yellow"	"paper"	"MS"	4	0	34	966.885861577046	3
"405"	405	0	27	"white"	"yellow"	"paper"	"PhD"	5	0	28	1003.64800349679	3
"406"	406	1	30	"black"	"brown"	"paper"	"HighSchool"	1	1	76	615.758176887037	4
"407"	407	1	24	"white"	"yellow"	"accurate"	"MS"	2	0	69	627.800644026525	5
"408"	408	1	22	"hispanic"	"yellow"	"cannon"	"HighSchool"	3	0	52	705.366726771612	5
"409"	409	0	28	"other"	"brown"	"broom"	"PhD"	4	1	31	878.625009213494	3
"410"	410	0	22	"black"	"brown"	"paper"	"BA"	5	0	21	1023.37859854099	1
"411"	411	0	25	"black"	"brown"	"paper"	"BA"	1	0	88	630.481845193566	4
"412"	412	1	24	"black"	"brown"	"broom"	"BA"	2	0	70	652.83632023947	5
"413"	413	1	25	"black"	"brown"	"accurate"	"MS"	3	0	48	749.259826214725	3
"414"	414	1	28	"white"	"brown"	"cannon"	"PhD"	4	0	22	937.502167490353	5
"415"	415	0	27	"white"	"brown"	"paper"	"PhD"	5	0	22	940.731030379378	3
"416"	416	1	26	"black"	"yellow"	"paper"	"MS"	1	1	81	601.541563915029	5
"417"	417	0	26	"white"	"brown"	"broom"	"HighSchool"	2	0	64	737.587390861545	4
"418"	418	0	24	"white"	"yellow"	"accurate"	"BA"	3	0	71	693.372406308541	4
"419"	419	1	24	"white"	"brown"	"broom"	"BA"	4	0	34	780.736876354867	5
"420"	420	0	26	"white"	"yellow"	"paper"	"BA"	5	0	22	905.3798802999	2
"421"	421	1	25	"white"	"brown"	"accurate"	"BA"	1	1	86	576.232238391997	6
"422"	422	1	26	"white"	"yellow"	"broom"	NA	2	0	67	733.273810994185	5
"423"	423	0	27	"white"	"brown"	"accurate"	"HighSchool"	3	0	54	870.304845213432	3
"424"	424	0	25	"white"	"yellow"	"paper"	"MS"	4	0	33	897.188724195931	3
"425"	425	0	26	"white"	"brown"	"cannon"	"MS"	5	0	13	967.63342483841	2
"426"	426	0	24	"white"	"yellow"	"cannon"	"MS"	1	1	84	663.172789202276	4
"427"	427	0	23	"white"	"brown"	"cannon"	"PhD"	2	1	81	627.610594739968	5
"428"	428	1	27	"white"	"yellow"	"paper"	"HighSchool"	3	0	54	761.462378284923	6
"429"	429	0	28	"black"	"brown"	"accurate"	"BA"	4	0	42	860.659856935111	4
"430"	430	1	27	"white"	"yellow"	"cannon"	"MS"	5	1	36	845.779474164414	4
"431"	431	0	26	"hispanic"	"yellow"	"broom"	"PhD"	1	1	84	645.568951507674	5
"432"	432	1	31	"white"	"brown"	"broom"	"PhD"	2	1	57	740.541951071724	5
"433"	433	1	27	"white"	"brown"	"cannon"	"PhD"	3	0	41	814.164167101707	5
"434"	434	1	25	"other"	"yellow"	"accurate"	"PhD"	4	0	28	894.207109745193	4
"435"	435	0	25	"white"	"yellow"	"accurate"	"MS"	5	0	15	1000.89928609837	2
"436"	436	1	28	"white"	"yellow"	"broom"	"PhD"	1	1	77	665.315166302338	5
"437"	437	0	24	"white"	"brown"	"broom"	"PhD"	2	1	64	760.908992620789	4
"438"	438	1	26	"white"	"yellow"	"cannon"	"PhD"	3	1	42	857.312988236811	5
"439"	439	0	26	"other"	"brown"	"cannon"	"PhD"	4	0	29	1015.8954173256	4
"440"	440	1	26	"asian"	"yellow"	"paper"	"PhD"	5	0	8	1043.09598992068	4
"441"	441	0	24	"asian"	"yellow"	"broom"	"HighSchool"	1	1	83	612.11603662736	3
"442"	442	0	28	"other"	"brown"	"accurate"	"HighSchool"	2	1	56	756.399779035872	3
"443"	443	1	25	"asian"	"yellow"	"accurate"	"MS"	3	0	45	732.970337148266	4
"444"	444	0	28	"hispanic"	"brown"	"cannon"	"HighSchool"	4	0	31	910.656397058797	3
"445"	445	1	23	"white"	"brown"	"cannon"	"PhD"	5	0	2	1086.81087729464	4
"446"	446	0	25	"white"	"yellow"	"broom"	"PhD"	1	1	84	612.022003342647	4
"447"	447	1	28	"black"	"brown"	"accurate"	"MS"	2	1	63	734.775929322294	6
"448"	448	0	23	"white"	"yellow"	"paper"	"PhD"	3	0	55	796.477911389582	4
"449"	449	0	23	"black"	"yellow"	"broom"	"HighSchool"	4	0	38	821.401516090704	3
"450"	450	1	25	"white"	"yellow"	"cannon"	"HighSchool"	5	0	21	1139.92253481789	4
"451"	451	1	22	"white"	"yellow"	"paper"	"HighSchool"	1	0	91	577.2103774946	5
"452"	452	1	26	"black"	"brown"	"cannon"	"HighSchool"	2	NA	61	760.750320296041	5
"453"	453	0	25	"asian"	"yellow"	"accurate"	"PhD"	3	0	58	808.504468269865	4
"454"	454	1	26	"white"	"brown"	"cannon"	"HighSchool"	4	1	34	831.008747274821	5
"455"	455	1	26	"other"	"brown"	"cannon"	"MS"	5	0	22	984.783441006827	5
"456"	456	0	26	"black"	"brown"	"accurate"	"BA"	1	1	88	529.734571610135	4
"457"	457	0	25	"white"	"yellow"	"broom"	"HighSchool"	2	1	75	613.227742370982	4
"458"	458	0	28	"black"	"brown"	"broom"	"MS"	3	1	60	759.983421842292	4
"459"	459	1	25	"white"	"yellow"	"accurate"	"BA"	4	0	35	882.104330544509	4
"460"	460	0	27	"hispanic"	"yellow"	"cannon"	"PhD"	5	0	24	1017.42865895082	2
"461"	461	1	26	"white"	"yellow"	"accurate"	"MS"	1	1	86	731.125872963879	5
"462"	462	1	26	"black"	"brown"	"broom"	"PhD"	2	1	57	727.510622789615	4
"463"	463	1	25	"white"	"brown"	"broom"	"MS"	3	0	40	831.645798010975	5
"464"	464	0	25	"other"	"brown"	"cannon"	"PhD"	4	0	24	887.710683029089	4
"465"	465	1	26	"white"	"brown"	"cannon"	"HighSchool"	5	0	12	993.587080636157	3
"466"	466	1	26	"white"	"brown"	"accurate"	"PhD"	1	1	71	691.286875226801	6
"467"	467	1	24	"other"	"brown"	"broom"	"HighSchool"	2	0	59	751.828636094733	5
"468"	468	1	24	"black"	"brown"	"broom"	"BA"	3	1	43	877.046289032581	4
"469"	469	1	23	"black"	"brown"	"accurate"	"PhD"	4	1	33	808.970736871118	5
"470"	470	0	27	"black"	"yellow"	"cannon"	"MS"	5	0	16	935.70854965493	1
"471"	471	0	28	"white"	"yellow"	"paper"	"PhD"	1	1	86	594.515432729657	4
"472"	472	1	22	"other"	"brown"	"broom"	"MS"	2	0	52	701.423890992811	6
"473"	473	0	27	"white"	"brown"	"cannon"	"PhD"	3	1	44	880.789133604207	3
"474"	474	0	21	"other"	"brown"	"cannon"	"MS"	4	1	24	959.388846702295	2
"475"	475	1	24	"white"	"brown"	"accurate"	"BA"	5	1	14	982.584683910204	4
"476"	476	0	24	"black"	"brown"	"accurate"	NA	1	1	74	609.183541133303	5
"477"	477	0	24	"white"	"yellow"	"broom"	"BA"	2	0	77	717.049348695517	3
"478"	478	0	27	"white"	"yellow"	"broom"	"PhD"	3	0	51	746.396647058574	3
"479"	479	0	23	"hispanic"	"yellow"	"paper"	"PhD"	4	1	31	945.711168048216	4
"480"	480	0	23	"white"	"yellow"	"accurate"	"MS"	5	0	32	918.731926889435	2
"481"	481	1	26	"black"	"brown"	"cannon"	"PhD"	1	0	75	721.070191086468	5
"482"	482	0	26	"white"	"brown"	"broom"	"PhD"	2	0	52	754.158490296926	3
"483"	483	0	24	"white"	"brown"	"cannon"	"PhD"	3	0	46	853.769283636826	4
"484"	484	1	27	"white"	"yellow"	"broom"	"MS"	4	0	39	847.650021794844	5
"485"	485	0	21	"asian"	"brown"	"cannon"	"MS"	5	0	15	982.062610252842	2
"486"	486	1	25	"white"	"brown"	"paper"	"HighSchool"	1	1	61	674.850185874831	4
"487"	487	1	26	"asian"	"brown"	"broom"	"MS"	2	1	49	830.708251981088	4
"488"	488	0	27	"other"	"yellow"	"broom"	"MS"	3	0	54	819.552364535362	3
"489"	489	0	25	"black"	"brown"	"paper"	"MS"	4	1	32	894.539565117996	4
"490"	490	0	23	"asian"	"brown"	"accurate"	"HighSchool"	5	0	14	1073.06836987985	2
"491"	491	1	26	"white"	"yellow"	"accurate"	"HighSchool"	1	1	92	580.976634859644	6
"492"	492	0	21	"black"	"yellow"	"paper"	"PhD"	2	1	70	679.534239198034	3
"493"	493	1	25	"black"	"yellow"	"accurate"	"MS"	3	0	45	817.846647986764	4
"494"	494	1	25	"black"	"brown"	"paper"	"MS"	4	0	31	938.21503941267	5
"495"	495	0	24	"white"	"brown"	"broom"	"PhD"	5	0	15	935.914455386938	3
"496"	496	1	26	"hispanic"	"brown"	"accurate"	"PhD"	1	0	74	692.250403467602	5
"497"	497	0	23	"white"	"brown"	"broom"	"BA"	2	1	64	775.334788252054	4
"498"	498	1	21	"other"	"brown"	"broom"	"BA"	3	0	41	853.296772138787	4
"499"	499	0	26	"white"	"yellow"	"paper"	"PhD"	4	0	29	903.843050672911	3
"500"	500	0	22	"hispanic"	"yellow"	"broom"	"BA"	5	0	26	884.916337990268	3
"501"	501	1	26	"white"	"brown"	"accurate"	"PhD"	1	1	77	659.157401141239	5
"502"	502	0	26	"white"	"brown"	"broom"	"MS"	2	1	55	745.114394680419	3
"503"	503	1	23	"other"	"brown"	"broom"	"BA"	3	1	41	898.027486238268	5
"504"	504	1	26	"white"	"yellow"	"broom"	"MS"	4	0	38	762.536699876937	5
"505"	505	1	27	"asian"	"yellow"	"accurate"	"HighSchool"	5	0	32	918.278589109013	4
"506"	506	1	23	"white"	"brown"	"broom"	"HighSchool"	1	1	81	660.22821426362	5
"507"	507	0	22	"asian"	"yellow"	"broom"	"BA"	2	1	64	758.538105869369	4
"508"	508	1	26	"hispanic"	"yellow"	"accurate"	"HighSchool"	3	1	56	774.335240901331	5
