"a"	"b"	"c"	"d"	"e"	"f"	"g"	"h"
"461"	461	"f"	22	1	"elderly"	30	"no"	44.1
"462"	462	"f"	20	1	"neutral"	1	"none"	36
"463"	463	"f"	23	1	"neutral"	10	"no"	33.8
"464"	464	"f"	22	1	"neutral"	30	"yes"	34
"465"	465	"m"	21	1	"neutral"	1	"yes"	25.8
"466"	466	"f"	22	1	"neutral"	10	"yes"	37.1
"467"	467	"m"	23	1	"asdf"	10	"no"	23.8
"468"	468	"m"	22	1	"elderly"	10	"no"	36.3
"469"	469	"m"	22	1	"elderly"	30	"no"	-52.0825915760361
"470"	470	"m"	23	1	"asdf"	30	"no"	27.1
"471"	471	"m"	24	1	"elderly"	10	"yes"	40.5
"472"	472	"m"	23	1	"neutral"	10	"no"	24.3
"473"	473	"m"	21	1	"asdf"	5	"no"	25.5
"474"	474	"m"	23	1	"neutral"	30	"no"	25.7
"475"	475	"f"	23	1	"asdf"	10	"no"	36.4
"476"	476	"f"	22	1	"neutral"	10	"none"	35.4
"477"	477	"f"	21	1	"neutral"	1	"none"	34.2
"478"	478	"f"	21	0	"asdf"	1	"no"	33.4
"479"	479	"f"	22	1	"asdf"	5	"yes"	35.3
"480"	480	"f"	21	1	"neutral"	10	"none"	34.8
"481"	481	"m"	22	1	"neutral"	10	"yes"	23.7
"482"	482	"m"	23	1	"neutral"	10	"none"	24.2
"483"	483	"f"	23	1	"neutral"	5	"none"	36.3
"484"	484	"m"	21	1	"elderly"	30	"none"	37.3
"485"	485	"m"	22	1	"elderly"	10	"no"	35
"486"	486	"m"	24	0	"neutral"	1	"yes"	25.5
"487"	487	"m"	20	1	"asdf"	5	"none"	24.7
"488"	488	"f"	22	1	"asdf"	5	"none"	34.1
"489"	489	"f"	22	1	"elderly"	10	"yes"	-13.3401096239686
"490"	490	"m"	23	1	"elderly"	10	"none"	35
"491"	491	"f"	21	1	"elderly"	1	"none"	-13.3401096239686
"492"	492	"m"	22	1	"neutral"	5	"no"	25.2
"493"	493	"m"	22	1	"asdf"	30	"no"	22.6
"494"	494	"m"	22	1	"asdf"	30	"yes"	23.5
"495"	495	"m"	21	0	"elderly"	1	"no"	35.8
"496"	496	"f"	24	1	"elderly"	5	"no"	44.9
"497"	497	"m"	22	1	"neutral"	10	"no"	-66.214689409826
"498"	498	"m"	22	1	"neutral"	10	"none"	26.8
"499"	499	"f"	22	1	"elderly"	5	"no"	43.8
"500"	500	"m"	22	1	"elderly"	30	"yes"	40.2
