"session"	"sex"	"age"	"haircolor"	"university"	"education"	"shirtless"	"intelligence"	"attractiveness"	"dateability"
"246"	25	"m"	27	"brown"	"2.Zurich"	"4.PhD"	"2.Yes"	"3.high"	"2.medium"	57
"247"	25	"m"	22	"brown"	"2.Zurich"	"2.Bachelors"	"2.Yes"	"2.medium"	"1.low"	48
"248"	25	"m"	24	"brown"	"1.Basel"	"3.Masters"	"1.No"	"1.low"	"3.high"	59
"249"	25	"f"	24	"blonde"	"3.Geneva"	"3.Masters"	"1.No"	"3.high"	"3.high"	53
"250"	25	"m"	28	"brown"	"2.Zurich"	"4.PhD"	"1.No"	"2.medium"	"1.low"	30
"251"	26	"m"	22	"brown"	"3.Geneva"	"2.Bachelors"	"1.No"	"3.high"	"2.medium"	83
"252"	26	"m"	23	"brown"	"1.Basel"	"3.Masters"	"1.No"	"3.high"	"3.high"	69
"253"	26	"m"	22	"blonde"	"1.Basel"	"2.Bachelors"	"2.Yes"	"3.high"	"3.high"	53
"254"	26	"f"	22	"brown"	"3.Geneva"	"3.Masters"	"1.No"	"1.low"	"2.medium"	76
"255"	26	"m"	21	"brown"	"2.Zurich"	"2.Bachelors"	"2.Yes"	"1.low"	"1.low"	21
"256"	26	"f"	19	"brown"	"1.Basel"	"1.HighSchool"	"1.No"	"3.high"	"3.high"	52
"257"	26	"f"	21	"blonde"	"2.Zurich"	"2.Bachelors"	"1.No"	"1.low"	"1.low"	67
"258"	26	"f"	23	"brown"	"3.Geneva"	"2.Bachelors"	"1.No"	"1.low"	"2.medium"	34
"259"	26	"m"	22	"brown"	"2.Zurich"	"2.Bachelors"	"2.Yes"	"3.high"	"2.medium"	33
"260"	26	"m"	19	"brown"	"1.Basel"	"1.HighSchool"	"1.No"	"1.low"	"3.high"	44
"261"	27	"m"	21	"blonde"	"3.Geneva"	"2.Bachelors"	"2.Yes"	"2.medium"	"1.low"	26
"262"	27	"f"	18	"brown"	"1.Basel"	"1.HighSchool"	"2.Yes"	"1.low"	"3.high"	100
"263"	27	"f"	23	"brown"	"1.Basel"	"2.Bachelors"	"1.No"	"1.low"	"3.high"	73
"264"	27	"m"	22	"brown"	"3.Geneva"	"2.Bachelors"	"2.Yes"	"3.high"	"2.medium"	39
"265"	27	"m"	23	"blonde"	"3.Geneva"	"2.Bachelors"	"1.No"	"2.medium"	"2.medium"	63
"266"	27	"f"	24	"brown"	"2.Zurich"	"3.Masters"	"1.No"	"1.low"	"3.high"	94
"267"	27	"m"	22	"brown"	"2.Zurich"	"2.Bachelors"	"1.No"	"3.high"	"3.high"	64
"268"	27	"f"	22	"brown"	"1.Basel"	"2.Bachelors"	"1.No"	"3.high"	"3.high"	46
"269"	27	"f"	24	"blonde"	"2.Zurich"	"3.Masters"	"1.No"	"3.high"	"1.low"	47
"270"	27	"f"	24	"brown"	"2.Zurich"	"3.Masters"	"1.No"	"3.high"	"2.medium"	65
"271"	28	"m"	19	"brown"	"3.Geneva"	"1.HighSchool"	"2.Yes"	"3.high"	"2.medium"	24
"272"	28	"f"	19	"brown"	"1.Basel"	"1.HighSchool"	"1.No"	"2.medium"	"3.high"	58
"273"	28	"f"	22	"blonde"	"3.Geneva"	"2.Bachelors"	"2.Yes"	"3.high"	"2.medium"	60
"274"	28	"m"	19	"brown"	"1.Basel"	"1.HighSchool"	"1.No"	"1.low"	"3.high"	29
"275"	28	"f"	23	"brown"	"2.Zurich"	"3.Masters"	"1.No"	"1.low"	"1.low"	25
"276"	28	"m"	27	"brown"	"2.Zurich"	"4.PhD"	"1.No"	"1.low"	"1.low"	46
"277"	28	"f"	22	"blonde"	"3.Geneva"	"2.Bachelors"	"1.No"	"3.high"	"1.low"	44
"278"	28	"f"	21	"brown"	"1.Basel"	"2.Bachelors"	"1.No"	"3.high"	"3.high"	0
"279"	28	"m"	22	"brown"	"2.Zurich"	"2.Bachelors"	"1.No"	"1.low"	"1.low"	58
"280"	28	"m"	24	"brown"	"3.Geneva"	"3.Masters"	"1.No"	"3.high"	"3.high"	96
"281"	29	"m"	21	"blonde"	"1.Basel"	"2.Bachelors"	"2.Yes"	"2.medium"	"3.high"	20
"282"	29	"m"	24	"brown"	"3.Geneva"	"2.Bachelors"	"2.Yes"	"1.low"	"3.high"	34
"283"	29	"m"	19	"brown"	"3.Geneva"	"1.HighSchool"	"2.Yes"	"3.high"	"3.high"	31
"284"	29	"m"	21	"brown"	"3.Geneva"	"2.Bachelors"	"1.No"	"1.low"	"2.medium"	59
"285"	29	"m"	21	"blonde"	"2.Zurich"	"2.Bachelors"	"1.No"	"2.medium"	"2.medium"	48
"286"	29	"m"	22	"brown"	"2.Zurich"	"2.Bachelors"	"2.Yes"	"2.medium"	"3.high"	37
"287"	29	"f"	22	"brown"	"1.Basel"	"2.Bachelors"	"1.No"	"2.medium"	"3.high"	86
"288"	29	"f"	23	"brown"	"3.Geneva"	"2.Bachelors"	"1.No"	"2.medium"	"3.high"	100
"289"	29	"f"	19	"blonde"	"3.Geneva"	"1.HighSchool"	"1.No"	"3.high"	"2.medium"	6
"290"	29	"m"	22	"brown"	"2.Zurich"	"2.Bachelors"	"1.No"	"1.low"	"1.low"	95
"291"	30	"m"	22	"brown"	"2.Zurich"	"2.Bachelors"	"1.No"	"1.low"	"1.low"	35
"292"	30	"f"	19	"brown"	"1.Basel"	"1.HighSchool"	"1.No"	"1.low"	"1.low"	29
"293"	30	"f"	22	"blonde"	"3.Geneva"	"2.Bachelors"	"2.Yes"	"1.low"	"2.medium"	99
"294"	30	"f"	22	"brown"	"1.Basel"	"2.Bachelors"	"2.Yes"	"1.low"	"3.high"	100
"295"	30	"m"	22	"brown"	"1.Basel"	"2.Bachelors"	"2.Yes"	"1.low"	"3.high"	40
"296"	30	"m"	23	"brown"	"1.Basel"	"2.Bachelors"	"1.No"	"2.medium"	"3.high"	61
"297"	30	"m"	21	"blonde"	"2.Zurich"	"2.Bachelors"	"1.No"	"1.low"	"3.high"	71
"298"	30	"f"	28	"brown"	"2.Zurich"	"4.PhD"	"2.Yes"	"2.medium"	"2.medium"	84
"299"	30	"m"	26	"brown"	"1.Basel"	"3.Masters"	"1.No"	"2.medium"	"1.low"	72
"300"	30	"m"	19	"brown"	"2.Zurich"	"1.HighSchool"	"2.Yes"	"1.low"	"3.high"	38
"301"	31	"m"	22	"blonde"	"1.Basel"	"2.Bachelors"	"1.No"	"2.medium"	"3.high"	45
"302"	31	"m"	24	"brown"	"2.Zurich"	"3.Masters"	"1.No"	"1.low"	"2.medium"	51
"303"	31	"f"	22	"brown"	"3.Geneva"	"2.Bachelors"	"1.No"	"1.low"	"3.high"	100
"304"	31	"m"	20	"brown"	"2.Zurich"	"1.HighSchool"	"1.No"	"1.low"	"2.medium"	47
"305"	31	"m"	22	"blonde"	"3.Geneva"	"2.Bachelors"	"1.No"	"1.low"	"2.medium"	35
"306"	31	"f"	19	"brown"	"2.Zurich"	"1.HighSchool"	"1.No"	"1.low"	"1.low"	26
"307"	31	"f"	24	"brown"	"1.Basel"	"3.Masters"	"1.No"	"3.high"	"3.high"	34
"308"	31	"f"	19	"brown"	"3.Geneva"	"1.HighSchool"	"1.No"	"3.high"	"3.high"	45
"309"	31	"m"	23	"blonde"	"3.Geneva"	"3.Masters"	"1.No"	"2.medium"	"2.medium"	35
"310"	31	"m"	21	"brown"	"3.Geneva"	"2.Bachelors"	"1.No"	"1.low"	"1.low"	51
"311"	32	"m"	22	"brown"	"1.Basel"	"2.Bachelors"	"1.No"	"1.low"	"3.high"	56
"312"	32	"f"	23	"brown"	"3.Geneva"	"2.Bachelors"	"1.No"	"3.high"	"1.low"	21
"313"	32	"f"	22	"blonde"	"2.Zurich"	"2.Bachelors"	"1.No"	"1.low"	"3.high"	100
"314"	32	"m"	22	"brown"	"1.Basel"	"2.Bachelors"	"1.No"	"2.medium"	"3.high"	78
"315"	32	"f"	22	"brown"	"3.Geneva"	"2.Bachelors"	"1.No"	"2.medium"	"2.medium"	66
"316"	32	"f"	19	"brown"	"1.Basel"	"1.HighSchool"	"1.No"	"3.high"	"3.high"	36
"317"	32	"m"	23	"blonde"	"2.Zurich"	"3.Masters"	"1.No"	"3.high"	"2.medium"	76
"318"	32	"m"	23	"brown"	"3.Geneva"	"2.Bachelors"	"1.No"	"1.low"	"2.medium"	41
"319"	32	"f"	23	"brown"	"2.Zurich"	"3.Masters"	"1.No"	"1.low"	"1.low"	14
"320"	32	"f"	20	"brown"	"2.Zurich"	"1.HighSchool"	"1.No"	"2.medium"	"1.low"	49
"321"	33	"f"	22	"blonde"	"3.Geneva"	"2.Bachelors"	"1.No"	"1.low"	"3.high"	100
"322"	33	"m"	21	"brown"	"2.Zurich"	"2.Bachelors"	"1.No"	"2.medium"	"2.medium"	24
"323"	33	"f"	19	"brown"	"3.Geneva"	"1.HighSchool"	"1.No"	"2.medium"	"3.high"	100
"324"	33	"f"	22	"brown"	"1.Basel"	"2.Bachelors"	"1.No"	"1.low"	"3.high"	100
"325"	33	"m"	22	"blonde"	"1.Basel"	"3.Masters"	"1.No"	"1.low"	"3.high"	57
"326"	33	"f"	19	"brown"	"3.Geneva"	"1.HighSchool"	"1.No"	"1.low"	"3.high"	76
"327"	33	"m"	23	"brown"	"2.Zurich"	"3.Masters"	"1.No"	"3.high"	"1.low"	75
"328"	33	"f"	23	"brown"	"2.Zurich"	"2.Bachelors"	"1.No"	"2.medium"	"2.medium"	81
"329"	33	"m"	19	"blonde"	"3.Geneva"	"1.HighSchool"	"1.No"	"3.high"	"2.medium"	54
"330"	33	"f"	19	"brown"	"2.Zurich"	"1.HighSchool"	"1.No"	"2.medium"	"2.medium"	53
"331"	34	"f"	22	"brown"	"1.Basel"	"2.Bachelors"	"1.No"	"2.medium"	"1.low"	0
"332"	34	"f"	20	"brown"	"3.Geneva"	"1.HighSchool"	"1.No"	"3.high"	"2.medium"	75
"333"	34	"m"	22	"blonde"	"1.Basel"	"2.Bachelors"	"1.No"	"3.high"	"1.low"	53
"334"	34	"m"	19	"brown"	"1.Basel"	"1.HighSchool"	"2.Yes"	"3.high"	"3.high"	54
"335"	34	"m"	19	"brown"	"1.Basel"	"1.HighSchool"	"1.No"	"1.low"	"3.high"	59
"336"	34	"m"	25	"brown"	"1.Basel"	"3.Masters"	"1.No"	"1.low"	"1.low"	11
"337"	34	"m"	20	"blonde"	"3.Geneva"	"1.HighSchool"	"1.No"	"1.low"	"2.medium"	33
"338"	34	"f"	30	"brown"	"2.Zurich"	"4.PhD"	"1.No"	"1.low"	"3.high"	91
"339"	34	"m"	24	"brown"	"3.Geneva"	"3.Masters"	"1.No"	"1.low"	"1.low"	29
"340"	34	"m"	19	"brown"	"3.Geneva"	"1.HighSchool"	"2.Yes"	"1.low"	"1.low"	2
"341"	35	"f"	24	"blonde"	"1.Basel"	"3.Masters"	"1.No"	"1.low"	"1.low"	26
"342"	35	"f"	19	"brown"	"2.Zurich"	"1.HighSchool"	"1.No"	"2.medium"	"1.low"	19
"343"	35	"m"	22	"brown"	"2.Zurich"	"2.Bachelors"	"1.No"	"1.low"	"2.medium"	34
"344"	35	"m"	22	"brown"	"2.Zurich"	"2.Bachelors"	"2.Yes"	"3.high"	"1.low"	37
"345"	35	"f"	28	"blonde"	"2.Zurich"	"4.PhD"	"1.No"	"3.high"	"3.high"	27
"346"	35	"f"	21	"brown"	"1.Basel"	"2.Bachelors"	"1.No"	"3.high"	"1.low"	38
"347"	35	"f"	28	"brown"	"3.Geneva"	"4.PhD"	"2.Yes"	"3.high"	"2.medium"	86
"348"	35	"m"	19	"brown"	"2.Zurich"	"1.HighSchool"	"2.Yes"	"1.low"	"2.medium"	57
"349"	35	"f"	23	"blonde"	"2.Zurich"	"2.Bachelors"	"2.Yes"	"1.low"	"3.high"	100
"350"	35	"f"	25	"brown"	"1.Basel"	"3.Masters"	"1.No"	"2.medium"	"3.high"	90
"351"	36	"f"	25	"brown"	"2.Zurich"	"3.Masters"	"1.No"	"2.medium"	"1.low"	24
"352"	36	"m"	22	"brown"	"3.Geneva"	"2.Bachelors"	"1.No"	"2.medium"	"2.medium"	49
"353"	36	"m"	22	"blonde"	"2.Zurich"	"3.Masters"	"1.No"	"2.medium"	"2.medium"	74
"354"	36	"m"	29	"brown"	"1.Basel"	"4.PhD"	"1.No"	"1.low"	"3.high"	27
"355"	36	"m"	21	"brown"	"3.Geneva"	"2.Bachelors"	"2.Yes"	"3.high"	"3.high"	58
"356"	36	"f"	19	"brown"	"2.Zurich"	"1.HighSchool"	"1.No"	"1.low"	"2.medium"	64
"357"	36	"f"	22	"blonde"	"2.Zurich"	"2.Bachelors"	"1.No"	"1.low"	"2.medium"	35
"358"	36	"f"	19	"brown"	"1.Basel"	"1.HighSchool"	"1.No"	"1.low"	"3.high"	100
"359"	36	"m"	25	"brown"	"3.Geneva"	"3.Masters"	"2.Yes"	"1.low"	"3.high"	12
"360"	36	"m"	19	"brown"	"3.Geneva"	"1.HighSchool"	"2.Yes"	"1.low"	"1.low"	0
"361"	37	"f"	24	"blonde"	"3.Geneva"	"3.Masters"	"1.No"	"1.low"	"2.medium"	23
"362"	37	"m"	30	"brown"	"1.Basel"	"4.PhD"	"2.Yes"	"1.low"	"3.high"	61
"363"	37	"m"	22	"brown"	"3.Geneva"	"2.Bachelors"	"1.No"	"3.high"	"1.low"	69
"364"	37	"m"	19	"brown"	"3.Geneva"	"1.HighSchool"	"1.No"	"1.low"	"2.medium"	40
"365"	37	"f"	19	"blonde"	"1.Basel"	"1.HighSchool"	"2.Yes"	"2.medium"	"3.high"	100
"366"	37	"f"	27	"brown"	"1.Basel"	"4.PhD"	"1.No"	"3.high"	"3.high"	19
"367"	37	"f"	23	"brown"	"3.Geneva"	"3.Masters"	"1.No"	"2.medium"	"1.low"	39
"368"	37	"f"	22	"brown"	"2.Zurich"	"2.Bachelors"	"1.No"	"3.high"	"3.high"	56
"369"	37	"f"	27	"blonde"	"2.Zurich"	"3.Masters"	"1.No"	"3.high"	"3.high"	66
"370"	37	"f"	19	"brown"	"2.Zurich"	"1.HighSchool"	"1.No"	"2.medium"	"3.high"	97
"371"	38	"m"	22	"brown"	"1.Basel"	"2.Bachelors"	"1.No"	"1.low"	"3.high"	55
"372"	38	"f"	19	"brown"	"1.Basel"	"1.HighSchool"	"1.No"	"3.high"	"1.low"	29
"373"	38	"m"	22	"blonde"	"3.Geneva"	"3.Masters"	"1.No"	"3.high"	"3.high"	87
"374"	38	"f"	24	"brown"	"2.Zurich"	"3.Masters"	"1.No"	"3.high"	"1.low"	35
"375"	38	"m"	22	"brown"	"1.Basel"	"2.Bachelors"	"1.No"	"1.low"	"3.high"	83
"376"	38	"f"	22	"brown"	"3.Geneva"	"2.Bachelors"	"1.No"	"2.medium"	"3.high"	100
"377"	38	"m"	19	"blonde"	"2.Zurich"	"1.HighSchool"	"1.No"	"2.medium"	"3.high"	22
"378"	38	"f"	25	"brown"	"3.Geneva"	"3.Masters"	"2.Yes"	"3.high"	"3.high"	85
"379"	38	"f"	19	"brown"	"2.Zurich"	"1.HighSchool"	"2.Yes"	"2.medium"	"1.low"	49
"380"	38	"m"	22	"brown"	"3.Geneva"	"2.Bachelors"	"1.No"	"1.low"	"3.high"	54
"381"	39	"f"	22	"blonde"	"1.Basel"	"2.Bachelors"	"1.No"	"3.high"	"2.medium"	48
"382"	39	"m"	22	"brown"	"3.Geneva"	"2.Bachelors"	"1.No"	"3.high"	"1.low"	68
"383"	39	"f"	23	"brown"	"2.Zurich"	"3.Masters"	"1.No"	"2.medium"	"2.medium"	41
"384"	39	"m"	28	"brown"	"1.Basel"	"4.PhD"	"1.No"	"2.medium"	"3.high"	83
"385"	39	"f"	24	"blonde"	"1.Basel"	"3.Masters"	"1.No"	"2.medium"	"3.high"	100
"386"	39	"f"	22	"brown"	"2.Zurich"	"3.Masters"	"1.No"	"2.medium"	"2.medium"	74
"387"	39	"f"	21	"brown"	"2.Zurich"	"2.Bachelors"	"1.No"	"2.medium"	"2.medium"	75
"388"	39	"m"	26	"brown"	"3.Geneva"	"4.PhD"	"1.No"	"2.medium"	"2.medium"	26
"389"	39	"m"	22	"blonde"	"1.Basel"	"2.Bachelors"	"1.No"	"2.medium"	"3.high"	60
"390"	39	"f"	23	"brown"	"1.Basel"	"2.Bachelors"	"1.No"	"3.high"	"3.high"	77
"391"	40	"m"	23	"brown"	"1.Basel"	"2.Bachelors"	"2.Yes"	"3.high"	"3.high"	24
"392"	40	"m"	24	"brown"	"1.Basel"	"3.Masters"	"2.Yes"	"2.medium"	"3.high"	52
"393"	40	"m"	22	"blonde"	"2.Zurich"	"2.Bachelors"	"1.No"	"3.high"	"2.medium"	47
"394"	40	"f"	19	"brown"	"1.Basel"	"1.HighSchool"	"1.No"	"3.high"	"3.high"	50
"395"	40	"f"	25	"brown"	"1.Basel"	"3.Masters"	"2.Yes"	"1.low"	"3.high"	100
"396"	40	"f"	19	"brown"	"1.Basel"	"1.HighSchool"	"1.No"	"2.medium"	"3.high"	100
"397"	40	"m"	24	"blonde"	"3.Geneva"	"3.Masters"	"1.No"	"1.low"	"2.medium"	18
"398"	40	"m"	23	"brown"	"3.Geneva"	"2.Bachelors"	"2.Yes"	"2.medium"	"1.low"	14
"399"	40	"m"	18	"brown"	"1.Basel"	"1.HighSchool"	"2.Yes"	"2.medium"	"3.high"	31
"400"	40	"m"	18	"brown"	"2.Zurich"	"1.HighSchool"	"1.No"	"1.low"	"2.medium"	51
"401"	41	"m"	24	"blonde"	"3.Geneva"	"3.Masters"	"2.Yes"	"1.low"	"2.medium"	0
"402"	41	"f"	23	"brown"	"1.Basel"	"2.Bachelors"	"1.No"	"1.low"	"3.high"	100
"403"	41	"m"	24	"brown"	"1.Basel"	"3.Masters"	"2.Yes"	"2.medium"	"3.high"	37
"404"	41	"f"	21	"brown"	"2.Zurich"	"2.Bachelors"	"2.Yes"	"3.high"	"3.high"	62
"405"	41	"f"	22	"blonde"	"1.Basel"	"2.Bachelors"	"1.No"	"1.low"	"2.medium"	22
"406"	41	"f"	22	"brown"	"1.Basel"	"2.Bachelors"	"2.Yes"	"3.high"	"3.high"	95
"407"	41	"m"	23	"brown"	"2.Zurich"	"2.Bachelors"	"1.No"	"2.medium"	"3.high"	55
"408"	41	"f"	25	"brown"	"1.Basel"	"3.Masters"	"2.Yes"	"3.high"	"3.high"	70
"409"	41	"f"	25	"blonde"	"3.Geneva"	"3.Masters"	"2.Yes"	"1.low"	"1.low"	76
"410"	41	"m"	22	"brown"	"2.Zurich"	"2.Bachelors"	"2.Yes"	"2.medium"	"2.medium"	14
"411"	42	"f"	24	"brown"	"2.Zurich"	"3.Masters"	"1.No"	"2.medium"	"2.medium"	81
"412"	42	"f"	22	"brown"	"2.Zurich"	"2.Bachelors"	"2.Yes"	"2.medium"	"2.medium"	82
"413"	42	"m"	29	"blonde"	"3.Geneva"	"4.PhD"	"2.Yes"	"2.medium"	"3.high"	43
"414"	42	"m"	20	"brown"	"3.Geneva"	"1.HighSchool"	"1.No"	"2.medium"	"1.low"	38
"415"	42	"f"	27	"brown"	"3.Geneva"	"4.PhD"	"1.No"	"1.low"	"2.medium"	51
"416"	42	"f"	23	"brown"	"3.Geneva"	"2.Bachelors"	"1.No"	"2.medium"	"3.high"	100
"417"	42	"f"	21	"blonde"	"3.Geneva"	"2.Bachelors"	"1.No"	"1.low"	"1.low"	37
"418"	42	"m"	22	"brown"	"3.Geneva"	"3.Masters"	"1.No"	"2.medium"	"3.high"	46
"419"	42	"m"	25	"brown"	"3.Geneva"	"3.Masters"	"1.No"	"2.medium"	"1.low"	37
"420"	42	"m"	25	"brown"	"2.Zurich"	"3.Masters"	"2.Yes"	"3.high"	"3.high"	37
"421"	43	"f"	22	"blonde"	"3.Geneva"	"2.Bachelors"	"2.Yes"	"1.low"	"3.high"	100
"422"	43	"f"	24	"brown"	"1.Basel"	"3.Masters"	"1.No"	"1.low"	"3.high"	100
"423"	43	"m"	19	"brown"	"3.Geneva"	"1.HighSchool"	"1.No"	"2.medium"	"2.medium"	44
"424"	43	"m"	22	"brown"	"3.Geneva"	"2.Bachelors"	"2.Yes"	"2.medium"	"2.medium"	30
"425"	43	"f"	19	"blonde"	"3.Geneva"	"1.HighSchool"	"2.Yes"	"2.medium"	"2.medium"	100
"426"	43	"m"	23	"brown"	"3.Geneva"	"2.Bachelors"	"1.No"	"2.medium"	"1.low"	34
"427"	43	"f"	19	"brown"	"3.Geneva"	"1.HighSchool"	"1.No"	"3.high"	"2.medium"	49
"428"	43	"f"	22	"brown"	"3.Geneva"	"2.Bachelors"	"1.No"	"1.low"	"1.low"	14
"429"	43	"f"	22	"blonde"	"2.Zurich"	"2.Bachelors"	"1.No"	"1.low"	"2.medium"	46
"430"	43	"f"	18	"brown"	"1.Basel"	"1.HighSchool"	"2.Yes"	"1.low"	"3.high"	100
"431"	44	"f"	23	"brown"	"2.Zurich"	"3.Masters"	"1.No"	"1.low"	"3.high"	69
"432"	44	"f"	22	"brown"	"2.Zurich"	"2.Bachelors"	"1.No"	"1.low"	"1.low"	0
"433"	44	"f"	22	"blonde"	"2.Zurich"	"2.Bachelors"	"2.Yes"	"2.medium"	"1.low"	51
"434"	44	"m"	22	"brown"	"1.Basel"	"3.Masters"	"1.No"	"1.low"	"3.high"	63
"435"	44	"m"	19	"brown"	"3.Geneva"	"1.HighSchool"	"1.No"	"1.low"	"2.medium"	42
"436"	44	"f"	23	"brown"	"1.Basel"	"3.Masters"	"2.Yes"	"1.low"	"3.high"	100
"437"	44	"f"	23	"blonde"	"2.Zurich"	"2.Bachelors"	"1.No"	"1.low"	"2.medium"	75
"438"	44	"m"	28	"brown"	"3.Geneva"	"4.PhD"	"1.No"	"1.low"	"2.medium"	71
"439"	44	"f"	25	"brown"	"3.Geneva"	"3.Masters"	"1.No"	"3.high"	"2.medium"	42
"440"	44	"m"	22	"brown"	"1.Basel"	"3.Masters"	"2.Yes"	"3.high"	"3.high"	46
"441"	45	"f"	22	"blonde"	"1.Basel"	"2.Bachelors"	"2.Yes"	"3.high"	"3.high"	52
"442"	45	"f"	22	"brown"	"2.Zurich"	"2.Bachelors"	"1.No"	"3.high"	"2.medium"	90
"443"	45	"f"	21	"brown"	"3.Geneva"	"2.Bachelors"	"1.No"	"1.low"	"2.medium"	61
"444"	45	"f"	19	"brown"	"2.Zurich"	"1.HighSchool"	"1.No"	"2.medium"	"3.high"	100
"445"	45	"m"	22	"blonde"	"3.Geneva"	"2.Bachelors"	"1.No"	"3.high"	"3.high"	61
"446"	45	"f"	19	"brown"	"1.Basel"	"1.HighSchool"	"2.Yes"	"2.medium"	"3.high"	100
"447"	45	"f"	22	"brown"	"3.Geneva"	"2.Bachelors"	"1.No"	"3.high"	"2.medium"	72
"448"	45	"m"	21	"brown"	"3.Geneva"	"2.Bachelors"	"1.No"	"2.medium"	"1.low"	72
"449"	45	"m"	19	"blonde"	"1.Basel"	"1.HighSchool"	"1.No"	"2.medium"	"3.high"	56
"450"	45	"m"	22	"brown"	"2.Zurich"	"2.Bachelors"	"1.No"	"2.medium"	"3.high"	54
"451"	46	"m"	22	"brown"	"3.Geneva"	"2.Bachelors"	"1.No"	"2.medium"	"1.low"	22
"452"	46	"m"	23	"brown"	"1.Basel"	"2.Bachelors"	"2.Yes"	"3.high"	"3.high"	72
"453"	46	"f"	22	"blonde"	"1.Basel"	"2.Bachelors"	"1.No"	"3.high"	"3.high"	38
"454"	46	"f"	22	"brown"	"1.Basel"	"2.Bachelors"	"1.No"	"3.high"	"3.high"	32
"455"	46	"f"	23	"brown"	"3.Geneva"	"2.Bachelors"	"2.Yes"	"1.low"	"3.high"	100
"456"	46	"m"	23	"brown"	"1.Basel"	"2.Bachelors"	"1.No"	"2.medium"	"3.high"	81
"457"	46	"f"	21	"blonde"	"2.Zurich"	"2.Bachelors"	"1.No"	"1.low"	"3.high"	100
"458"	46	"f"	24	"brown"	"2.Zurich"	"3.Masters"	"1.No"	"2.medium"	"2.medium"	57
"459"	46	"m"	22	"brown"	"3.Geneva"	"2.Bachelors"	"1.No"	"1.low"	"2.medium"	32
"460"	46	"m"	30	"brown"	"2.Zurich"	"4.PhD"	"2.Yes"	"1.low"	"2.medium"	41
"461"	47	"f"	27	"blonde"	"3.Geneva"	"4.PhD"	"1.No"	"3.high"	"1.low"	41
"462"	47	"m"	22	"brown"	"1.Basel"	"2.Bachelors"	"1.No"	"1.low"	"3.high"	32
"463"	47	"f"	22	"brown"	"2.Zurich"	"2.Bachelors"	"1.No"	"3.high"	"2.medium"	47
"464"	47	"m"	19	"brown"	"1.Basel"	"1.HighSchool"	"1.No"	"3.high"	"2.medium"	59
"465"	47	"m"	23	"blonde"	"1.Basel"	"2.Bachelors"	"1.No"	"3.high"	"3.high"	100
"466"	47	"f"	22	"brown"	"3.Geneva"	"2.Bachelors"	"1.No"	"2.medium"	"2.medium"	47
"467"	47	"f"	25	"brown"	"1.Basel"	"3.Masters"	"1.No"	"3.high"	"3.high"	43
"468"	47	"f"	22	"brown"	"3.Geneva"	"2.Bachelors"	"2.Yes"	"3.high"	"2.medium"	51
"469"	47	"f"	28	"blonde"	"2.Zurich"	"4.PhD"	"1.No"	"2.medium"	"1.low"	60
"470"	47	"m"	28	"brown"	"3.Geneva"	"4.PhD"	"1.No"	"3.high"	"2.medium"	86
"471"	48	"m"	22	"brown"	"2.Zurich"	"2.Bachelors"	"1.No"	"3.high"	"2.medium"	40
"472"	48	"m"	28	"brown"	"1.Basel"	"4.PhD"	"2.Yes"	"1.low"	"3.high"	38
"473"	48	"f"	28	"blonde"	"3.Geneva"	"4.PhD"	"1.No"	"1.low"	"3.high"	94
"474"	48	"f"	25	"brown"	"2.Zurich"	"3.Masters"	"1.No"	"1.low"	"2.medium"	42
"475"	48	"m"	22	"brown"	"3.Geneva"	"2.Bachelors"	"2.Yes"	"2.medium"	"2.medium"	48
"476"	48	"f"	22	"brown"	"3.Geneva"	"2.Bachelors"	"1.No"	"3.high"	"3.high"	27
"477"	48	"f"	22	"blonde"	"1.Basel"	"2.Bachelors"	"1.No"	"1.low"	"3.high"	100
"478"	48	"f"	22	"brown"	"1.Basel"	"2.Bachelors"	"1.No"	"2.medium"	"2.medium"	7
"479"	48	"m"	21	"brown"	"2.Zurich"	"2.Bachelors"	"1.No"	"3.high"	"1.low"	80
"480"	48	"m"	29	"brown"	"2.Zurich"	"4.PhD"	"1.No"	"2.medium"	"2.medium"	66
"481"	49	"f"	18	"blonde"	"1.Basel"	"1.HighSchool"	"1.No"	"2.medium"	"3.high"	100
"482"	49	"m"	19	"brown"	"1.Basel"	"1.HighSchool"	"1.No"	"1.low"	"3.high"	14
"483"	49	"m"	21	"brown"	"3.Geneva"	"2.Bachelors"	"1.No"	"1.low"	"1.low"	30
"484"	49	"m"	22	"brown"	"2.Zurich"	"2.Bachelors"	"2.Yes"	"3.high"	"2.medium"	25
"485"	49	"m"	26	"blonde"	"1.Basel"	"3.Masters"	"2.Yes"	"1.low"	"3.high"	0
"486"	49	"f"	22	"brown"	"3.Geneva"	"2.Bachelors"	"1.No"	"2.medium"	"3.high"	86
"487"	49	"f"	23	"brown"	"2.Zurich"	"3.Masters"	"1.No"	"1.low"	"1.low"	41
"488"	49	"m"	19	"brown"	"1.Basel"	"1.HighSchool"	"1.No"	"2.medium"	"3.high"	67
"489"	49	"m"	24	"blonde"	"1.Basel"	"3.Masters"	"1.No"	"1.low"	"3.high"	63
"490"	49	"f"	22	"brown"	"2.Zurich"	"2.Bachelors"	"1.No"	"3.high"	"1.low"	55
"491"	50	"m"	25	"brown"	"2.Zurich"	"3.Masters"	"2.Yes"	"1.low"	"2.medium"	46
"492"	50	"m"	22	"brown"	"2.Zurich"	"2.Bachelors"	"1.No"	"3.high"	"1.low"	63
